/* DATA DESCRIPTION:
Citation:	Birch, Heather; Schmidt, Daniela N; Coxall, Helen; Kroon, Dick; Ridgwell, Andy (2021): Foraminifera size analysis of 356 washed samples (>38µm) from ODP Site 208-1262 [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.935498, 
	In: Birch, H et al. (2021): Raw Data for article Ecosystem Function after the K/Pg Extinction: Decoupling of Marine Carbon Pump and Diversity [dataset bundled publication]. PANGAEA, https://doi.org/10.1594/PANGAEA.935502
Abstract:	A representative split of 356 washed samples (>38µm) was analysed for foraminifera size. Size parameters of randomly oriented foraminifers were measured using a Malvern Mastersizer laser granulameter. The maximum diameter of the object was chosen as the most suitable size estimator because it is least affected by random orientation. The 90th percentile of the maximum diameter (or D90) was used to describe these strongly skewed distributions.
Keyword(s):	Biological pump; ecology; ecosystem function; K/Pg; Planktonic foraminifera
Related to:	Birch, Heather; Schmidt, Daniela N; Coxall, Helen K; Kroon, Dick; Ridgwell, Andy (2021): Ecosystem function after the K/Pg extinction: decoupling of marine carbon pump and diversity. Proceedings of the Royal Society B-Biological Sciences, 288(1953), 20210863, https://doi.org/10.1098/rspb.2021.0863
Coverage:	MEDIAN LATITUDE: -27.185740 * MEDIAN LONGITUDE: 1.576990 * SOUTH-BOUND LATITUDE: -27.185830 * WEST-BOUND LONGITUDE: 1.576980 * NORTH-BOUND LATITUDE: -27.185650 * EAST-BOUND LONGITUDE: 1.577000
	DATE/TIME START: 2003-03-26T12:40:00 * DATE/TIME END: 2003-03-29T05:15:00
	MINIMUM ELEVATION: -4753.6 m * MAXIMUM ELEVATION: -4753.6 m
Event(s):	208-1262B * LATITUDE: -27.185830 * LONGITUDE: 1.577000 * DATE/TIME START: 2003-03-26T12:40:00 * DATE/TIME END: 2003-03-27T21:25:00 * ELEVATION: -4753.6 m * Penetration: 209.9 m * Recovery: 212.53 m * LOCATION: Walvis Ridge, Southeast Atlantic Ocean * CAMPAIGN: Leg208 (URI: https://doi.org/10.2973/odp.proc.ir.208.2004) * BASIS: Joides Resolution (URI: https://www-odp.tamu.edu:443/resolutn.html) * METHOD/DEVICE: Drilling/drill rig (DRILL) * COMMENT: 23 cores; 209.9 m cored; 0 m drilled; 101.3 % recovery
	208-1262C * LATITUDE: -27.185650 * LONGITUDE: 1.576980 * DATE/TIME START: 2003-03-27T21:25:00 * DATE/TIME END: 2003-03-29T05:15:00 * ELEVATION: -4753.6 m * Penetration: 212.5 m * Recovery: 125.93 m * LOCATION: Walvis Ridge, Southeast Atlantic Ocean * CAMPAIGN: Leg208 (URI: https://doi.org/10.2973/odp.proc.ir.208.2004) * BASIS: Joides Resolution (URI: https://www-odp.tamu.edu:443/resolutn.html) * METHOD/DEVICE: Drilling/drill rig (DRILL) * COMMENT: 14 cores; 122.5 m cored; 90 m drilled; 102.8 % recovery
Parameter(s):	Event label (Event) * PI: Birch, Heather (https://orcid.org/0000-0003-1515-0645, heather.birch@bristol.ac.uk)
	Size fraction [µm] (Size fraction) * PI: Birch, Heather (https://orcid.org/0000-0003-1515-0645, heather.birch@bristol.ac.uk)
	Sample code/label (Sample label) * PI: Birch, Heather (https://orcid.org/0000-0003-1515-0645, heather.birch@bristol.ac.uk) * METHOD/DEVICE: DSDP/ODP/IODP sample designation (URI: hdl:10013/epic.27914.d001)
	Depth, composite [mcd] (Depth comp) * PI: Birch, Heather (https://orcid.org/0000-0003-1515-0645, heather.birch@bristol.ac.uk)
	Age model [ka] (Age model) * PI: Birch, Heather (https://orcid.org/0000-0003-1515-0645, heather.birch@bristol.ac.uk) * METHOD/DEVICE: Determinded after Dinarès-Turell et al. (2014) (URI: https://doi.org/10.1016/j.epsl.2014.08.027) * COMMENT: La2011
	Percentile 90 [µm] (Perc90) * PI: Birch, Heather (https://orcid.org/0000-0003-1515-0645, heather.birch@bristol.ac.uk) * METHOD/DEVICE: Grain size, Mastersizer, Malvern Instrument Inc.
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0) (URI: https://creativecommons.org/licenses/by/4.0/)
Status:	Curation Level: Enhanced curation (URI: https://wiki.pangaea.de/wiki/Curation_levels)
Size:	1671 data points
*/
Event	Size fraction [µm]	Sample label	Depth comp [mcd]	Age model [ka]	Perc90 [µm]
208-1262C	1	208-1262C-13H-2,68-69	216.72	66022.438	199.7820000
208-1262C	1	208-1262C-13H-2,71-72	216.75	66023.751	324.3420000
208-1262C	1	208-1262C-13H-2,72-73	216.76	66024.189	395.9950000
208-1262C	1	208-1262C-13H-2,74-75	216.78	66025.065	390.8030000
208-1262C	1	208-1262C-13H-2,75-76	216.79	66025.503	404.5510000
208-1262C	1	208-1262C-13H-2,77-78	216.81	66026.379	330.6650000
208-1262C		208-1262C-13H-2,80-81	216.84	66027.692	446.9570000
208-1262C		208-1262C-13H-2,86-87	216.90	66030.320	415.2170000
208-1262C		208-1262C-13H-2,92-93	216.96	66032.947	423.2490000
208-1262C		208-1262C-13H-2,98-99	217.02	66035.574	378.8800000
208-1262C	1	208-1262C-13H-2,104-105	217.08	66038.201	418.0030000
208-1262C		208-1262C-13H-2,110-111	217.14	66040.828	390.6110000
208-1262C		208-1262C-13H-2,116-117	217.20	66043.456	418.4560000
208-1262C		208-1262C-13H-2,122-123	217.26	66046.083	436.5160000
208-1262C		208-1262C-13H-2,128-129	217.32	66048.710	
208-1262C		208-1262C-13H-2,134-135	217.38	66051.337	407.3930000
208-1262C		208-1262C-13H-2,140-141	217.44	66053.964	295.1630000
208-1262C	1	208-1262C-13H-2,146-147	217.50	66056.592	379.3590000
208-1262C		208-1262C-13H-3,3-4	217.57	66059.657	370.1280000
208-1262C		208-1262C-13H-3,9-10	217.63	66062.284	436.2850000
208-1262C		208-1262C-13H-3,15-16	217.69	66064.911	372.3620000
208-1262C		208-1262C-13H-3,21-22	217.75	66067.538	376.3320000
208-1262C	1	208-1262C-13H-3,27-28	217.81	66070.166	373.3388333
208-1262C		208-1262C-13H-3,33-34	217.87	66072.793	337.0900000
208-1262C		208-1262C-13H-3,39-40	217.93	66075.420	328.2560000
208-1262C	1	208-1262C-13H-3,42-43	217.96	66076.734	388.8650000
208-1262C		208-1262C-13H-3,45-46	217.99	66078.047	359.1930000
208-1262C		208-1262C-13H-3,48-49	218.02	66079.361	426.4570000
208-1262C	1	208-1262C-13H-3,57-58	218.11	66083.302	443.5230000
208-1262C		208-1262C-13H-3,63-64	218.17	66085.929	419.4850000
208-1262C		208-1262C-13H-3,69-70	218.23	66088.556	357.4000000
208-1262C	1	208-1262C-13H-3,72-73	218.26	66089.870	361.4020000
208-1262C		208-1262C-13H-3,75-76	218.29	66091.183	323.6890000
208-1262C		208-1262C-13H-3,84-85	218.38	66095.124	323.2210000
208-1262C	1	208-1262C-13H-3,99-100	218.53	66102.323	439.2790000
208-1262C	1	208-1262C-13H-3,114-115	218.68	66109.618	486.3870000
208-1262C	1	208-1262C-13H-3,129-130	218.83	66116.914	437.4940000
208-1262C	1	208-1262C-13H-3,144-145	218.98	66124.209	352.8400000
208-1262C	1	208-1262C-13H-4,24-25	219.28	66138.800	507.6340000
208-1262C	1	208-1262C-13H-4,39-40	219.43	66146.095	320.8640000
208-1262C	1	208-1262C-13H-4,54-55	219.58	66153.391	446.8270000
208-1262C	1	208-1262C-13H-4,69-70	219.73	66160.686	447.4250000
208-1262C		208-1262C-13H-4,81-82	219.85	66166.523	420.9140000
208-1262C	1	208-1262C-13H-4,96-97	220.00	66173.818	282.0380000
208-1262C	1	208-1262C-13H-4,114-115	220.18	66182.573	534.5430000
208-1262C	1	208-1262C-13H-4,129-130	220.33	66189.868	329.7700000
208-1262C	1	208-1262C-13H-4,141-142	220.45	66195.705	496.2410000
208-1262C		208-1262C-13H-5,3-4	220.57	66201.541	479.3070000
208-1262C		208-1262C-13H-5,18-19	220.72	66209.171	475.2140000
208-1262C		208-1262C-13H-5,42-43	220.96	66221.514	472.2680000
208-1262C	1	208-1262C-13H-5,51-52	221.05	66226.143	458.9060000
208-1262C	1	208-1262C-13H-5,66-67	221.20	66233.857	456.5040000
208-1262C	1	208-1262C-13H-5,81-82	221.35	66241.571	378.6900000
208-1262C		208-1262C-13H-5,102-103	221.56	66252.371	375.4180000
208-1262C		208-1262C-13H-5,135-136	221.89	66269.343	366.1420000
208-1262C		208-1262C-13H-6,15-16	222.19	66284.771	312.3830000
208-1262C		208-1262C-13H-6,45-46	222.49	66300.200	320.8860000
208-1262C	1	208-1262C-13H-6,48-49	222.52	66301.743	298.2930000
208-1262C	1	208-1262C-13H-6,78-79	222.82	66318.310	309.2990000
208-1262C	1	208-1262C-13H-6,108-109	223.12	66336.586	213.9420000
208-1262C	1	208-1262C-13H-7,3-4	223.57	66364.000	336.7160000
208-1262C		208-1262C-13H-7,21-22	223.75	66374.966	243.2570000
208-1262C	1	208-1262C-13H-7,33-34	223.87	66382.276	331.9640000
208-1262C	1	208-1262C-13H-7,48-49	224.02	66391.414	332.2620000
208-1262C		208-1262C-13H-7,54-55	224.08	66395.069	327.8300000
208-1262C	1	208-1262C-13H-7,63-64	224.17	66400.552	313.9910000
208-1262C	1	208-1262C-13H-7,75-76	224.29	66407.862	493.9180000
208-1262B		208-1262B-23H-1,83-84	224.41	66415.172	384.4980000
208-1262B	1	208-1262B-23H-1,86-87	224.44	66417.000	427.7820000
208-1262B	1	208-1262B-23H-1,101-102	224.59	66425.112	426.5150000
208-1262B		208-1262B-23H-1,113-114	224.71	66431.602	311.3260000
208-1262B	1	208-1262B-23H-1,116-117	224.74	66433.224	368.0890000
208-1262B	1	208-1262B-23H-1,131-132	224.89	66441.337	407.0440000
208-1262B	1	208-1262B-23H-1,143-144	225.01	66447.827	576.2880000
208-1262B	1	208-1262B-23H-2,11-12	225.19	66457.561	457.2980000
208-1262B		208-1262B-23H-2,23-24	225.31	66464.051	467.2220000
208-1262B	1	208-1262B-23H-2,26-27	225.34	66465.673	472.5950000
208-1262B	1	208-1262B-23H-2,41-42	225.49	66473.786	419.8850000
208-1262B	1	208-1262B-23H-2,56-57	225.64	66481.898	471.6670000
208-1262B	1	208-1262B-23H-2,71-72	225.79	66490.010	380.8080000
208-1262B		208-1262B-23H-2,86-87	225.94	66498.122	
208-1262B	1	208-1262B-23H-2,98-99	226.06	66504.612	425.4870000
208-1262B	1	208-1262B-23H-2,113-114	226.21	66512.724	383.8780000
208-1262B	1	208-1262B-23H-2,143-144	226.51	66528.578	462.5650000
208-1262B	1	208-1262B-23H-3,8-9	226.66	66536.185	393.9490000
208-1262C	1	208-1262C-14H-1,56-57	226.98		481.1330000
208-1262C	1	208-1262C-14H-1,68-69	227.10	66558.498	475.9150000
208-1262C	1	208-1262C-14H-1,98-99	227.40	66573.711	356.3630000
208-1262C	1	208-1262C-14H-1,113-114	227.55	66581.318	413.3380000
208-1262C		208-1262C-14H-1,125-126	227.67	66587.403	360.2940000
208-1262C	1	208-1262C-14H-1,128-129	227.70	66588.924	430.9690000
208-1262C	1	208-1262C-14H-1,143-144	227.85	66596.531	346.6660000
208-1262C	1	208-1262C-14H-2,36-37	228.28	66618.336	433.6530000
208-1262C	1	208-1262C-14H-2,66-67	228.58	66633.731	421.3260000
208-1262C	1	208-1262C-14H-3,137-138	230.79	66750.306	291.6410000
208-1262C		208-1262C-14H-5,149-150	233.91	66933.181	371.8850000
